# Ionization cross-section of Ar taken from PHYSICAL REVIEW A 66, 012707 ͑(2002͒)
#
# eV	m**2
#
17.58	7.00E-22
19.26	1.58E-21
20.9	2.75E-21
22.28	4.21E-21
23.96	5.39E-21
25.53	6.85E-21
27.71	8.32E-21
29.27	9.93E-21
31.48	1.18E-20
33.55	1.30E-20
35.43	1.46E-20
37.76	1.61E-20
39.52	1.76E-20
42.12	1.89E-20
44.49	2.05E-20
46.98	2.20E-20
50.07	2.36E-20
54.35	2.52E-20
57.92	2.67E-20
61.73	2.78E-20
65.2	2.87E-20
68.86	2.99E-20
74.73	3.08E-20
79.65	3.16E-20
87.24	3.24E-20
95.55	3.28E-20
102.77	3.28E-20
113.59	3.28E-20
124.41	3.26E-20
131.39	3.23E-20
136.27	3.20E-20
143.91	3.17E-20
151.99	3.13E-20
164.96	3.04E-20
179.05	2.95E-20
194.33	2.86E-20
207.11	2.80E-20
224.79	2.67E-20
253.02	2.52E-20
272.13	2.42E-20
287.41	2.35E-20
303.54	2.27E-20
317.67	2.20E-20
341.66	2.12E-20
357.57	2.07E-20
381.09	1.98E-20
402.48	1.90E-20
461.35	1.74E-20
524.04	1.59E-20
563.62	1.50E-20
611.73	1.43E-20
682.33	1.30E-20
789.28	1.19E-20
856.66	1.10E-20
929.78	1.04E-20
1056.13	9.56E-21
1156.75	8.96E-21
1255.49	8.37E-21
1290.24	8.07E-21
1492.5	7.18E-21
1619.89	6.59E-21
1823.35	6.14E-21
2015.34	5.69E-21
2207.36	5.10E-21
2395.78	4.80E-21
2648.04	4.50E-21
