# Ionization cross section for O2, taken from NIST database
#
#eV	m**2
#
12.07	0
12.5	1.8E-022
13	4E-022
13.5	6.3E-022
14	8.6E-022
14.5	1.09E-021
15	1.32E-021
15.5	1.55E-021
16	1.77E-021
16.5	1.99E-021
17	2.2E-021
17.5	2.41E-021
18	2.62E-021
18.5	2.82E-021
19	3.01E-021
19.5	3.2E-021
20	3.54E-021
20.5	3.98E-021
21	4.41E-021
21.5	4.84E-021
22	5.27E-021
22.5	5.7E-021
23	6.12E-021
23.5	6.54E-021
24	6.95E-021
26	8.52E-021
28	9.98E-021
30	1.132E-020
32	1.263E-020
34	1.384E-020
36	1.494E-020
38	1.595E-020
40	1.687E-020
45	1.883E-020
50	2.046E-020
55	2.179E-020
60	2.287E-020
65	2.372E-020
70	2.441E-020
75	2.494E-020
80	2.536E-020
85	2.569E-020
90	2.593E-020
95	2.61E-020
100	2.621E-020
105	2.628E-020
110	2.63E-020
115	2.629E-020
120	2.626E-020
125	2.619E-020
130	2.611E-020
135	2.601E-020
140	2.589E-020
145	2.576E-020
150	2.562E-020
160	2.532E-020
170	2.499E-020
180	2.465E-020
190	2.429E-020
200	2.394E-020
210	2.357E-020
220	2.322E-020
230	2.286E-020
240	2.251E-020
250	2.216E-020
300	2.053E-020
350	1.908E-020
400	1.781E-020
450	1.669E-020
500	1.57E-020
550	1.483E-020
600	1.405E-020
650	1.335E-020
700	1.272E-020
750	1.215E-020
800	1.164E-020
850	1.116E-020
900	1.073E-020
950	1.033E-020
1000	9.96E-021
1100	9.3E-021
1200	8.72E-021
1300	8.22E-021
1400	7.78E-021
1500	7.38E-021
1600	7.02E-021
1700	6.7E-021
1800	6.41E-021
1900	6.15E-021
2000	5.9E-021
2100	5.68E-021
2200	5.47E-021
2300	5.28E-021
2400	5.11E-021
2500	4.94E-021
2600	4.79E-021
2700	4.64E-021
2800	4.51E-021
2900	4.38E-021
3000	4.26E-021
4000	3.36E-021
5000	2.79E-021
